0;13.5628941950619;_a4_;{'d0': {'_a4_': 0.4899762030460544, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 4.816684445098421};27.1257883901237;0.0
11;-32.9222300689166;(x ** _a2_);{'d0': {'_a2_': 0.6655470593298176, '_a0_': 1.0, '_a1_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.819110238021131};-79.1715568300332;6.6635483461
12;-32.9222300689166;(x ** _a2_);{'d0': {'_a2_': 0.6655470593298176, '_a0_': 1.0, '_a1_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.819110238021131};-79.1715568300332;6.6635483461
13;-32.9222300689166;(x ** _a2_);{'d0': {'_a2_': 0.6655470593298176, '_a0_': 1.0, '_a1_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.819110238021131};-79.1715568300332;6.6635483461
14;-32.9222300689166;(x ** _a2_);{'d0': {'_a2_': 0.6655470593298176, '_a0_': 1.0, '_a1_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.819110238021131};-79.1715568300332;6.6635483461
15;-32.9222300689166;(x ** _a2_);{'d0': {'_a2_': 0.6655470593298176, '_a0_': 1.0, '_a1_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.819110238021131};-79.1715568300332;6.6635483461
16;-32.9222300689166;(x ** _a2_);{'d0': {'_a2_': 0.6655470593298176, '_a0_': 1.0, '_a1_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.819110238021131};-79.1715568300332;6.6635483461
17;-32.9222300689166;(x ** _a2_);{'d0': {'_a2_': 0.6655470593298176, '_a0_': 1.0, '_a1_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.819110238021131};-79.1715568300332;6.6635483461
18;-32.9222300689166;(x ** _a2_);{'d0': {'_a2_': 0.6655470593298176, '_a0_': 1.0, '_a1_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.819110238021131};-79.1715568300332;6.6635483461
19;-17.9606101212154;x;{'d0': {'_a4_': 1.0, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 1.8031613243566489};-35.9212202424308;0.0
20;-17.9606101212154;x;{'d0': {'_a4_': 1.0, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 1.8031613243566489};-35.9212202424308;0.0
21;-17.9606101212154;x;{'d0': {'_a4_': 1.0, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 1.8031613243566489};-35.9212202424308;0.0
22;-17.9606101212154;x;{'d0': {'_a4_': 1.0, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 1.8031613243566489};-35.9212202424308;0.0
23;-32.9222300689166;(x ** _a2_);{'d0': {'_a2_': 0.6655470593298176, '_a0_': 1.0, '_a1_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.819110238021131};-79.1715568300332;6.6635483461
24;-32.9222300689166;(x ** _a2_);{'d0': {'_a2_': 0.6655470593298176, '_a0_': 1.0, '_a1_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.819110238021131};-79.1715568300332;6.6635483461
25;-32.9222300689166;(x ** _a2_);{'d0': {'_a2_': 0.6655470593298176, '_a0_': 1.0, '_a1_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.819110238021131};-79.1715568300332;6.6635483461
26;-32.9222300689166;(x ** _a2_);{'d0': {'_a2_': 0.6655470593298176, '_a0_': 1.0, '_a1_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.819110238021131};-79.1715568300332;6.6635483461
27;-32.9222300689166;(x ** _a2_);{'d0': {'_a2_': 0.6655470593298176, '_a0_': 1.0, '_a1_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.819110238021131};-79.1715568300332;6.6635483461
28;-32.9222300689166;(x ** _a2_);{'d0': {'_a2_': 0.6655470593298176, '_a0_': 1.0, '_a1_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.819110238021131};-79.1715568300332;6.6635483461
29;-32.9222300689166;(x ** _a2_);{'d0': {'_a2_': 0.6655470593298176, '_a0_': 1.0, '_a1_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.819110238021131};-79.1715568300332;6.6635483461
30;-32.9222300689166;(x ** _a2_);{'d0': {'_a2_': 0.6655470593298176, '_a0_': 1.0, '_a1_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.819110238021131};-79.1715568300332;6.6635483461
31;-29.0091189247931;((x ** _a2_) * _a1_);{'d0': {'_a1_': 1.1329991780008188, '_a2_': 0.7926328070897763, '_a0_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.7444713496949155};-80.8098706747682;11.395816412591
32;-29.0091189247931;((x ** _a2_) * _a1_);{'d0': {'_a1_': 1.1329991780008188, '_a2_': 0.7926328070897763, '_a0_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.7444713496949155};-80.8098706747682;11.395816412591
33;-29.0091189247931;((x ** _a2_) * _a1_);{'d0': {'_a1_': 1.1329991780008188, '_a2_': 0.7926328070897763, '_a0_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.7444713496949155};-80.8098706747682;11.395816412591
34;-29.0091189247931;((x ** _a2_) * _a1_);{'d0': {'_a1_': 1.1329991780008188, '_a2_': 0.7926328070897763, '_a0_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.7444713496949155};-80.8098706747682;11.395816412591
35;-29.0091189247931;((x ** _a2_) * _a1_);{'d0': {'_a1_': 1.1329991780008188, '_a2_': 0.7926328070897763, '_a0_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.7444713496949155};-80.8098706747682;11.395816412591
36;-29.0091189247931;((x ** _a2_) * _a1_);{'d0': {'_a1_': 1.1329991780008188, '_a2_': 0.7926328070897763, '_a0_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.7444713496949155};-80.8098706747682;11.395816412591
37;-29.0091189247931;((x ** _a2_) * _a1_);{'d0': {'_a1_': 1.1329991780008188, '_a2_': 0.7926328070897763, '_a0_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.7444713496949155};-80.8098706747682;11.395816412591
38;-29.0091189247931;((x ** _a2_) * _a1_);{'d0': {'_a1_': 1.1329991780008188, '_a2_': 0.7926328070897763, '_a0_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.7444713496949155};-80.8098706747682;11.395816412591
39;-29.0091189247931;((x ** _a2_) * _a1_);{'d0': {'_a1_': 1.1329991780008188, '_a2_': 0.7926328070897763, '_a0_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.7444713496949155};-80.8098706747682;11.395816412591
40;-23.1331636595717;sqrt(x);{'d0': {'_a4_': 1.0, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 1.2701405082558401};-56.9460533401834;5.33986301052
41;-23.1331636595717;sqrt(x);{'d0': {'_a4_': 1.0, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 1.2701405082558401};-56.9460533401834;5.33986301052
42;-23.1331636595717;sqrt(x);{'d0': {'_a4_': 1.0, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 1.2701405082558401};-56.9460533401834;5.33986301052
43;-23.1331636595717;sqrt(x);{'d0': {'_a4_': 1.0, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 1.2701405082558401};-56.9460533401834;5.33986301052
44;-23.1331636595717;sqrt(x);{'d0': {'_a4_': 1.0, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 1.2701405082558401};-56.9460533401834;5.33986301052
45;-23.1331636595717;sqrt(x);{'d0': {'_a4_': 1.0, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 1.2701405082558401};-56.9460533401834;5.33986301052
46;-23.1331636595717;sqrt(x);{'d0': {'_a4_': 1.0, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 1.2701405082558401};-56.9460533401834;5.33986301052
47;-23.1331636595717;sqrt(x);{'d0': {'_a4_': 1.0, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 1.2701405082558401};-56.9460533401834;5.33986301052
48;-23.1331636595717;sqrt(x);{'d0': {'_a4_': 1.0, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 1.2701405082558401};-56.9460533401834;5.33986301052
49;-23.1331636595717;sqrt(x);{'d0': {'_a4_': 1.0, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 1.2701405082558401};-56.9460533401834;5.33986301052
50;-23.1331636595717;sqrt(x);{'d0': {'_a4_': 1.0, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 1.2701405082558401};-56.9460533401834;5.33986301052
51;-23.1331636595717;sqrt(x);{'d0': {'_a4_': 1.0, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 1.2701405082558401};-56.9460533401834;5.33986301052
52;-23.1331636595717;sqrt(x);{'d0': {'_a4_': 1.0, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 1.2701405082558401};-56.9460533401834;5.33986301052
53;-23.1331636595717;sqrt(x);{'d0': {'_a4_': 1.0, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 1.2701405082558401};-56.9460533401834;5.33986301052
54;-23.1331636595717;sqrt(x);{'d0': {'_a4_': 1.0, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 1.2701405082558401};-56.9460533401834;5.33986301052
55;-23.1331636595717;sqrt(x);{'d0': {'_a4_': 1.0, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 1.2701405082558401};-56.9460533401834;5.33986301052
56;-23.1331636595717;sqrt(x);{'d0': {'_a4_': 1.0, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 1.2701405082558401};-56.9460533401834;5.33986301052
57;-23.1331636595717;sqrt(x);{'d0': {'_a4_': 1.0, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 1.2701405082558401};-56.9460533401834;5.33986301052
58;-23.1331636595717;sqrt(x);{'d0': {'_a4_': 1.0, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 1.2701405082558401};-56.9460533401834;5.33986301052
59;-23.1331636595717;sqrt(x);{'d0': {'_a4_': 1.0, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 1.2701405082558401};-56.9460533401834;5.33986301052
60;-23.1331636595717;sqrt(x);{'d0': {'_a4_': 1.0, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 1.2701405082558401};-56.9460533401834;5.33986301052
61;-23.1331636595717;sqrt(x);{'d0': {'_a4_': 1.0, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 1.2701405082558401};-56.9460533401834;5.33986301052
62;-23.1331636595717;sqrt(x);{'d0': {'_a4_': 1.0, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 1.2701405082558401};-56.9460533401834;5.33986301052
63;-23.1331636595717;sqrt(x);{'d0': {'_a4_': 1.0, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 1.2701405082558401};-56.9460533401834;5.33986301052
64;-23.1331636595717;sqrt(x);{'d0': {'_a4_': 1.0, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 1.2701405082558401};-56.9460533401834;5.33986301052
65;-23.1331636595717;sqrt(x);{'d0': {'_a4_': 1.0, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 1.2701405082558401};-56.9460533401834;5.33986301052
66;-23.1331636595717;sqrt(x);{'d0': {'_a4_': 1.0, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 1.2701405082558401};-56.9460533401834;5.33986301052
67;-23.1331636595717;sqrt(x);{'d0': {'_a4_': 1.0, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 1.2701405082558401};-56.9460533401834;5.33986301052
68;-23.1331636595717;sqrt(x);{'d0': {'_a4_': 1.0, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 1.2701405082558401};-56.9460533401834;5.33986301052
69;-23.1331636595717;sqrt(x);{'d0': {'_a4_': 1.0, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 1.2701405082558401};-56.9460533401834;5.33986301052
70;-23.1331636595717;sqrt(x);{'d0': {'_a4_': 1.0, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 1.2701405082558401};-56.9460533401834;5.33986301052
71;-23.1331636595717;sqrt(x);{'d0': {'_a4_': 1.0, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 1.2701405082558401};-56.9460533401834;5.33986301052
72;-23.1331636595717;sqrt(x);{'d0': {'_a4_': 1.0, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 1.2701405082558401};-56.9460533401834;5.33986301052
73;-23.1331636595717;sqrt(x);{'d0': {'_a4_': 1.0, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 1.2701405082558401};-56.9460533401834;5.33986301052
74;-23.1331636595717;sqrt(x);{'d0': {'_a4_': 1.0, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 1.2701405082558401};-56.9460533401834;5.33986301052
75;-23.1331636595717;sqrt(x);{'d0': {'_a4_': 1.0, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 1.2701405082558401};-56.9460533401834;5.33986301052
76;-23.1331636595717;sqrt(x);{'d0': {'_a4_': 1.0, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 1.2701405082558401};-56.9460533401834;5.33986301052
77;-23.1331636595717;sqrt(x);{'d0': {'_a4_': 1.0, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 1.2701405082558401};-56.9460533401834;5.33986301052
78;-23.1331636595717;sqrt(x);{'d0': {'_a4_': 1.0, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 1.2701405082558401};-56.9460533401834;5.33986301052
79;-23.1331636595717;sqrt(y);{'d0': {'_a4_': 1.0, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 1.2701405082558401};-56.9460533401834;5.33986301052
80;-23.1331636595717;sqrt(y);{'d0': {'_a4_': 1.0, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 1.2701405082558401};-56.9460533401834;5.33986301052
81;-23.1331636595717;sqrt(y);{'d0': {'_a4_': 1.0, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 1.2701405082558401};-56.9460533401834;5.33986301052
82;-23.1331636595717;sqrt(y);{'d0': {'_a4_': 1.0, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 1.2701405082558401};-56.9460533401834;5.33986301052
83;-23.1331636595717;sqrt(y);{'d0': {'_a4_': 1.0, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 1.2701405082558401};-56.9460533401834;5.33986301052
84;-20.3376008148708;sqrt((y / _a6_));{'d0': {'_a6_': 1.219143078042845, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a7_': 1.0}};{'d0': 1.0732922824715068};-62.9555111835863;11.140154776922401
85;-20.3376008148708;sqrt((y / _a6_));{'d0': {'_a6_': 1.219143078042845, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a7_': 1.0}};{'d0': 1.0732922824715068};-62.9555111835863;11.140154776922401
86;-30.4799541458395;sin((x / _a1_));{'d0': {'_a1_': 0.679556413123908, '_a0_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.7335038058792254};-85.7947101897108;12.41740094901592
87;-30.4799541458395;sin((x / _a1_));{'d0': {'_a1_': 0.679556413123908, '_a0_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.7335038058792254};-85.7947101897108;12.41740094901592
88;-30.4799541458395;sin((x / _a1_));{'d0': {'_a1_': 0.679556413123908, '_a0_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.7335038058792254};-85.7947101897108;12.41740094901592
89;-30.4799541458395;sin((x / _a1_));{'d0': {'_a1_': 0.679556413123908, '_a0_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.7335038058792254};-85.7947101897108;12.41740094901592
90;-30.4799541458395;sin((x / _a1_));{'d0': {'_a1_': 0.679556413123908, '_a0_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.7335038058792254};-85.7947101897108;12.41740094901592
91;-30.4799541458395;sin((x / _a1_));{'d0': {'_a1_': 0.679556413123908, '_a0_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.7335038058792254};-85.7947101897108;12.41740094901592
92;-30.4799541458395;sin((x / _a1_));{'d0': {'_a1_': 0.679556413123908, '_a0_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.7335038058792254};-85.7947101897108;12.41740094901592
