0;-24.4729364497409;x;{'d0': {'_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 1.4513060446144521};-48.9458728994819;0.0
11;-32.4859797379746;(_a4_ + x);{'d0': {'_a4_': 0.09994650566206464, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.8519478049474809};-76.8131615740091;5.92060104903
12;-32.4859797379746;(_a4_ + x);{'d0': {'_a4_': 0.09994650566206464, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.8519478049474809};-76.8131615740091;5.92060104903
13;-32.4859797379746;(_a4_ + x);{'d0': {'_a4_': 0.09994650566206464, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.8519478049474809};-76.8131615740091;5.92060104903
14;-32.4859797379746;(_a4_ + x);{'d0': {'_a4_': 0.09994650566206464, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.8519478049474809};-76.8131615740091;5.92060104903
15;-32.4859797379746;(_a4_ + x);{'d0': {'_a4_': 0.09994650566206464, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.8519478049474809};-76.8131615740091;5.92060104903
16;-28.7880452653646;(pow2(_a2_) + x);{'d0': {'_a2_': 0.31614317365301625, '_a0_': 1.0, '_a1_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.8519478049474809};-76.8131615740091;9.61853552164
17;-28.7880452653646;(pow2(_a2_) + x);{'d0': {'_a2_': 0.31614317365301625, '_a0_': 1.0, '_a1_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.8519478049474809};-76.8131615740091;9.61853552164
18;-28.7880452653646;(pow2(_a2_) + x);{'d0': {'_a2_': 0.31614317365301625, '_a0_': 1.0, '_a1_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.8519478049474809};-76.8131615740091;9.61853552164
19;-28.7880452653646;(pow2(_a2_) + x);{'d0': {'_a2_': 0.31614317365301625, '_a0_': 1.0, '_a1_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.8519478049474809};-76.8131615740091;9.61853552164
20;-28.7880452653646;(pow2(_a2_) + x);{'d0': {'_a2_': 0.31614317365301625, '_a0_': 1.0, '_a1_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.8519478049474809};-76.8131615740091;9.61853552164
21;-28.7880452653646;(pow2(_a2_) + x);{'d0': {'_a2_': 0.31614317365301625, '_a0_': 1.0, '_a1_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.8519478049474809};-76.8131615740091;9.61853552164
22;-39.8667437686608;(x * _a7_);{'d0': {'_a7_': 1.262903703951793, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 0.6930560629825175};-89.1980236703035;4.732268066491001
23;-39.8667437686608;(x * _a7_);{'d0': {'_a7_': 1.262903703951793, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 0.6930560629825175};-89.1980236703035;4.732268066491001
24;-39.8667437686608;(x * _a7_);{'d0': {'_a7_': 1.262903703951793, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 0.6930560629825175};-89.1980236703035;4.732268066491001
25;-39.8667437686608;(x * _a7_);{'d0': {'_a7_': 1.262903703951793, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 0.6930560629825175};-89.1980236703035;4.732268066491001
26;-39.8667437686608;(x * _a7_);{'d0': {'_a7_': 1.262903703951793, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 0.6930560629825175};-89.1980236703035;4.732268066491001
27;-39.8667437686608;(x * _a7_);{'d0': {'_a7_': 1.262903703951793, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 0.6930560629825175};-89.1980236703035;4.732268066491001
28;-39.8667437686608;(x * _a7_);{'d0': {'_a7_': 1.262903703951793, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 0.6930560629825175};-89.1980236703035;4.732268066491001
29;-39.8667437686608;(x * _a7_);{'d0': {'_a7_': 1.262903703951793, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 0.6930560629825175};-89.1980236703035;4.732268066491001
30;-39.8667437686608;(x * _a7_);{'d0': {'_a7_': 1.262903703951793, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 0.6930560629825175};-89.1980236703035;4.732268066491001
31;-35.3774129433875;sin((y * _a0_));{'d0': {'_a0_': 1.4133082180744425, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6456031199870473};-93.4535803849841;11.349377249104519
32;-35.3774129433875;sin((y * _a0_));{'d0': {'_a0_': 1.4133082180744425, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6456031199870473};-93.4535803849841;11.349377249104519
33;-35.3774129433875;sin((y * _a0_));{'d0': {'_a0_': 1.4133082180744425, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6456031199870473};-93.4535803849841;11.349377249104519
34;-35.3774129433875;sin((y * _a0_));{'d0': {'_a0_': 1.4133082180744425, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6456031199870473};-93.4535803849841;11.349377249104519
35;-35.3774129433875;sin((y * _a0_));{'d0': {'_a0_': 1.4133082180744425, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6456031199870473};-93.4535803849841;11.349377249104519
36;-35.3774129433875;sin((y * _a0_));{'d0': {'_a0_': 1.4133082180744425, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6456031199870473};-93.4535803849841;11.349377249104519
37;-35.3774129433875;sin((y * _a0_));{'d0': {'_a0_': 1.4133082180744425, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6456031199870473};-93.4535803849841;11.349377249104519
38;-38.7987200687494;(x / _a7_);{'d0': {'_a7_': 0.7918260093358558, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 0.6930560629825174};-89.1980236703035;5.8002917664024
39;-38.7987200687494;(x / _a7_);{'d0': {'_a7_': 0.7918260093358558, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 0.6930560629825174};-89.1980236703035;5.8002917664024
40;-38.7987200687494;(x / _a7_);{'d0': {'_a7_': 0.7918260093358558, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 0.6930560629825174};-89.1980236703035;5.8002917664024
41;-38.7987200687494;(x / _a7_);{'d0': {'_a7_': 0.7918260093358558, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 0.6930560629825174};-89.1980236703035;5.8002917664024
42;-38.7987200687494;(x / _a7_);{'d0': {'_a7_': 0.7918260093358558, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 0.6930560629825174};-89.1980236703035;5.8002917664024
43;-38.7987200687494;(x / _a7_);{'d0': {'_a7_': 0.7918260093358558, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 0.6930560629825174};-89.1980236703035;5.8002917664024
44;-38.7987200687494;(x / _a7_);{'d0': {'_a7_': 0.7918260093358558, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 0.6930560629825174};-89.1980236703035;5.8002917664024
45;-38.7987200687494;(x / _a7_);{'d0': {'_a7_': 0.7918260093358558, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 0.6930560629825174};-89.1980236703035;5.8002917664024
46;-38.7987200687494;(x / _a7_);{'d0': {'_a7_': 0.7918260093358558, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 0.6930560629825174};-89.1980236703035;5.8002917664024
47;-38.7987200687494;(x / _a7_);{'d0': {'_a7_': 0.7918260093358558, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 0.6930560629825174};-89.1980236703035;5.8002917664024
48;-38.7987200687494;(x / _a7_);{'d0': {'_a7_': 0.7918260093358558, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 0.6930560629825174};-89.1980236703035;5.8002917664024
49;-38.7987200687494;(x / _a7_);{'d0': {'_a7_': 0.7918260093358558, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 0.6930560629825174};-89.1980236703035;5.8002917664024
50;-38.7987200687494;(x / _a7_);{'d0': {'_a7_': 0.7918260093358558, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 0.6930560629825174};-89.1980236703035;5.8002917664024
51;-38.7987200687494;(x / _a7_);{'d0': {'_a7_': 0.7918260093358558, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 0.6930560629825174};-89.1980236703035;5.8002917664024
52;-38.7987200687494;(x / _a7_);{'d0': {'_a7_': 0.7918260093358558, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 0.6930560629825174};-89.1980236703035;5.8002917664024
53;-38.7987200687494;(x / _a7_);{'d0': {'_a7_': 0.7918260093358558, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 0.6930560629825174};-89.1980236703035;5.8002917664024
54;-38.7987200687494;(x / _a7_);{'d0': {'_a7_': 0.7918260093358558, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 0.6930560629825174};-89.1980236703035;5.8002917664024
55;-38.7987200687494;(x / _a7_);{'d0': {'_a7_': 0.7918260093358558, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 0.6930560629825174};-89.1980236703035;5.8002917664024
56;-38.7987200687494;(x / _a7_);{'d0': {'_a7_': 0.7918260093358558, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 0.6930560629825174};-89.1980236703035;5.8002917664024
57;-38.7987200687494;(x / _a7_);{'d0': {'_a7_': 0.7918260093358558, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 0.6930560629825174};-89.1980236703035;5.8002917664024
58;-38.7987200687494;(x / _a7_);{'d0': {'_a7_': 0.7918260093358558, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 0.6930560629825174};-89.1980236703035;5.8002917664024
59;-38.7987200687494;(x / _a7_);{'d0': {'_a7_': 0.7918260093358558, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 0.6930560629825174};-89.1980236703035;5.8002917664024
60;-38.7987200687494;(x / _a7_);{'d0': {'_a7_': 0.7918260093358558, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 0.6930560629825174};-89.1980236703035;5.8002917664024
61;-38.7987200687494;(x / _a7_);{'d0': {'_a7_': 0.7918260093358558, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 0.6930560629825174};-89.1980236703035;5.8002917664024
62;-38.7987200687494;(x / _a7_);{'d0': {'_a7_': 0.7918260093358558, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 0.6930560629825174};-89.1980236703035;5.8002917664024
63;-38.7987200687494;(x / _a7_);{'d0': {'_a7_': 0.7918260093358558, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 0.6930560629825174};-89.1980236703035;5.8002917664024
64;-38.7987200687494;(x / _a7_);{'d0': {'_a7_': 0.7918260093358558, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 0.6930560629825174};-89.1980236703035;5.8002917664024
65;-38.7987200687494;(x / _a7_);{'d0': {'_a7_': 0.7918260093358558, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 0.6930560629825174};-89.1980236703035;5.8002917664024
66;-38.7987200687494;(x / _a7_);{'d0': {'_a7_': 0.7918260093358558, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 0.6930560629825174};-89.1980236703035;5.8002917664024
67;-38.7987200687494;(x / _a7_);{'d0': {'_a7_': 0.7918260093358558, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 0.6930560629825174};-89.1980236703035;5.8002917664024
68;-38.7987200687494;(x / _a7_);{'d0': {'_a7_': 0.7918260093358558, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 0.6930560629825174};-89.1980236703035;5.8002917664024
69;-38.7987200687494;(x / _a7_);{'d0': {'_a7_': 0.7918260093358558, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 0.6930560629825174};-89.1980236703035;5.8002917664024
70;-38.7987200687494;(x / _a7_);{'d0': {'_a7_': 0.7918260093358558, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 0.6930560629825174};-89.1980236703035;5.8002917664024
71;-38.7987200687494;(x / _a7_);{'d0': {'_a7_': 0.7918260093358558, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 0.6930560629825174};-89.1980236703035;5.8002917664024
72;-38.7987200687494;(x / _a7_);{'d0': {'_a7_': 0.7918260093358558, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 0.6930560629825174};-89.1980236703035;5.8002917664024
73;-38.7987200687494;(x / _a7_);{'d0': {'_a7_': 0.7918260093358558, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 0.6930560629825174};-89.1980236703035;5.8002917664024
74;-38.7987200687494;(x / _a7_);{'d0': {'_a7_': 0.7918260093358558, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 0.6930560629825174};-89.1980236703035;5.8002917664024
75;-38.7987200687494;(x / _a7_);{'d0': {'_a7_': 0.7918260093358558, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 0.6930560629825174};-89.1980236703035;5.8002917664024
76;-38.7987200687494;(x / _a7_);{'d0': {'_a7_': 0.7918260093358558, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 0.6930560629825174};-89.1980236703035;5.8002917664024
77;-38.7987200687494;(x / _a7_);{'d0': {'_a7_': 0.7918260093358558, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 0.6930560629825174};-89.1980236703035;5.8002917664024
78;-38.7987200687494;(x / _a7_);{'d0': {'_a7_': 0.7918260093358558, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 0.6930560629825174};-89.1980236703035;5.8002917664024
79;-38.7987200687494;(x / _a7_);{'d0': {'_a7_': 0.7918260093358558, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 0.6930560629825174};-89.1980236703035;5.8002917664024
80;-38.7987200687494;(x / _a7_);{'d0': {'_a7_': 0.7918260093358558, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 0.6930560629825174};-89.1980236703035;5.8002917664024
81;-38.7987200687494;(x / _a7_);{'d0': {'_a7_': 0.7918260093358558, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 0.6930560629825174};-89.1980236703035;5.8002917664024
82;-34.3093892434761;sin((y / _a0_));{'d0': {'_a0_': 0.7075597354563443, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6456031199870488};-93.4535803849840;12.417400949015919
83;-34.3093892434761;sin((y / _a0_));{'d0': {'_a0_': 0.7075597354563443, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6456031199870488};-93.4535803849840;12.417400949015919
84;-34.3093892434761;sin((y / _a0_));{'d0': {'_a0_': 0.7075597354563443, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6456031199870488};-93.4535803849840;12.417400949015919
85;-34.3093892434761;sin((y / _a0_));{'d0': {'_a0_': 0.7075597354563443, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6456031199870488};-93.4535803849840;12.417400949015919
86;-34.3093892434761;sin((x / _a0_));{'d0': {'_a0_': 0.707559743598428, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6456031199870474};-93.4535803849841;12.417400949015919
87;-34.3093892434761;sin((x / _a0_));{'d0': {'_a0_': 0.707559743598428, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6456031199870474};-93.4535803849841;12.417400949015919
88;-34.3093892434761;sin((x / _a0_));{'d0': {'_a0_': 0.707559743598428, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6456031199870474};-93.4535803849841;12.417400949015919
89;-34.3093892434761;sin((x / _a0_));{'d0': {'_a0_': 0.707559743598428, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6456031199870474};-93.4535803849841;12.417400949015919
90;-34.3093892434761;sin((x / _a0_));{'d0': {'_a0_': 0.707559743598428, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6456031199870474};-93.4535803849841;12.417400949015919
